	s200525_Dog_4h_02.mzXML	s200525_Dog_Blank_01.mzXML	s200525_Dog_4h_01.mzXML	s200525_Dog_4h_03.mzXML	s200525_Dog_Blank_02.mzXML	s200525_Dog_Blank_03.mzXML	s200525_HUMAN_4h_01.mzXML	s200525_HUMAN_4h_02.mzXML	s200525_HUMAN_Blank_02.mzXML	s200525_HUMAN_Blank_01.mzXML	s200525_HUMAN_Blank_03.mzXML	s200525_HUMAN_4h_03.mzXML	s200525_Mk_4h_03.mzXML	s200525_Mk_4h_01.mzXML	s200525_Mk_Blank_01.mzXML	s200525_Mk_4h_02.mzXML	s200525_Mou_4h_01.mzXML	s200525_Mou_4h_02.mzXML	s200525_Mk_Blank_02.mzXML	s200525_Mk_Blank_03.mzXML	s200525_Mou_Blank_02.mzXML	s200525_Mou_Blank_01.mzXML	s200525_Mou_4h_03.mzXML	s200525_Mou_Blank_03.mzXML	s200525_Rat_4h_02.mzXML	s200525_Rat_Blank_01.mzXML	s200525_Rat_4h_03.mzXML	s200525_Rat_4h_01.mzXML	s200525_Rat_Blank_03.mzXML	s200525_Rat_Blank_02.mzXML
s200525_HUMAN_Blank_03.mzXML	0.999666543437498	0.484937255803515	0.999652264351798	0.999653226347442	0.647022012796492	0.722941164574039	0.999626104948151	0.999615693913505	0.644751472283185	0.388920287052851	0	0.999618674669053	0.999504539289043	0.999500008735704	0.834701188522789	0.99950802929519	0.999627388697399	0.999627290890613	0.828499229413995	0.754731533729347	0.715823886152145	0.777189717925867	0.999625289799028	0.718548442737771	0.999464991514668	0.939382596772684	0.999481587741495	0.999485406537185	0.874712127100805	0.920410726269053
s200525_HUMAN_4h_03.mzXML	0.392832740660406	0.999302298876825	0.379207076245834	0.373788065946028	0.99944475668496	0.999680607615146	0.0114159389119192	0.00809208381934294	0.999600494652101	0.99955616313136	0.999618674669053	0	0.449404242257237	0.457438338409844	0.997302635182842	0.449583638404532	0.185381375773691	0.187523959525032	0.997097714963168	0.9978715114789	0.999320038985815	0.998094194709958	0.183652750145202	0.998754929695867	0.664473308363825	0.995380836598858	0.669640345525188	0.67092616996938	0.996148167786657	0.996158322292538
s200525_Mk_4h_03.mzXML	0.559120932619627	0.999093511243958	0.556270512939732	0.561585858780579	0.999241201713956	0.999540633217319	0.442204815840969	0.453105245792951	0.999451987498866	0.999391669596222	0.999504539289043	0.449404242257237	0	0.0116614310886709	0.99646993862111	0.00776820771505327	0.512085882522866	0.51435778597569	0.996119843713167	0.997205205295293	0.999088098155645	0.997506061146332	0.511057032457539	0.998358845884884	0.540299381558053	0.993869950291988	0.545187098380029	0.546452150278892	0.994710465256491	0.994580898967414
s200525_Mk_4h_01.mzXML	0.56728092380505	0.999085223919419	0.56436940106963	0.569678126931878	0.999234264091794	0.999536432634756	0.450399495611973	0.46134232767576	0.999446976538438	0.999386107265484	0.999500008735704	0.457438338409844	0.0116614310886709	0	0.996459210997874	0.0124872559927186	0.519652971457252	0.521873434105857	0.996101538273398	0.997179679007215	0.999079761366212	0.99748327926582	0.518931885715173	0.998343847648307	0.543622642823442	0.993667679394631	0.548546715522283	0.549696699484931	0.994662214130704	0.994481038227217
s200525_Mk_Blank_01.mzXML	0.999030047078415	0.656193150638756	0.998957915772941	0.998947843558963	0.673758625412088	0.827698921013258	0.997253406537687	0.997260961140765	0.803875102876744	0.758552014532709	0.834701188522789	0.997302635182842	0.99646993862111	0.996459210997874	0	0.996494766764843	0.997344217414972	0.997359555797193	0.144907087129246	0.303295482774328	0.637028341896059	0.644330475398482	0.997329274719309	0.545444424060498	0.997401863885434	0.493150316454518	0.997389552055175	0.997438666729398	0.28825237601694	0.327473597977737
s200525_Mk_4h_02.mzXML	0.558415951420147	0.999099895212466	0.555747470191286	0.561048410772659	0.999246545960851	0.999543869037226	0.442456414690718	0.453453473975511	0.999455847577057	0.999395954411952	0.99950802929519	0.449583638404532	0.00776820771505327	0.0124872559927186	0.996494766764843	0	0.510766204031828	0.513031010915957	0.996147129443663	0.997224869242291	0.999094520228688	0.99752361092084	0.509732006289373	0.998370399533957	0.538149901150943	0.994118786648638	0.543011168837979	0.544245897412533	0.994747635829075	0.994824978099005
s200525_Mou_4h_01.mzXML	0.325371993795357	0.999318240244779	0.313939368937054	0.30582871968603	0.999429326998707	0.999654534687868	0.190749245644266	0.183780913388576	0.999587864429878	0.999542498624436	0.999627388697399	0.185381375773691	0.512085882522866	0.519652971457252	0.997344217414972	0.510766204031828	0	0.0132354298956972	0.997080702586243	0.997897574754346	0.999314168662999	0.998123967984879	0.0116888304259791	0.998765594424521	0.683119556358167	0.994424501309018	0.688044013904976	0.690977390846794	0.996019638302096	0.995871707991499
s200525_Mou_4h_02.mzXML	0.334165096605016	0.999318061317253	0.322570965961136	0.314409884394222	0.999429177217524	0.999654444005405	0.193087481874609	0.186781145337543	0.9995877562505	0.999542378539944	0.999627290890613	0.187523959525032	0.51435778597569	0.521873434105857	0.997359555797193	0.513031010915957	0.0132354298956972	0	0.99709270056498	0.997897023366016	0.999313988667256	0.998123475915348	0.0102101756724842	0.998765270544934	0.6862557416904	0.99442304160465	0.691157970908941	0.694144861093869	0.996018595382018	0.995883354003749
s200525_Mk_Blank_02.mzXML	0.999036249373557	0.721831425970531	0.99901208489505	0.998984951879303	0.705320461780136	0.83008666063154	0.997073679861835	0.997069372788174	0.841268843396173	0.755062930024508	0.828499229413995	0.997097714963168	0.996119843713167	0.996101538273398	0.144907087129246	0.996147129443663	0.997080702586243	0.99709270056498	0	0.372632771260425	0.670369828277639	0.665220731943047	0.997064279410082	0.604335420783328	0.997224848481538	0.440534785674393	0.997247643049686	0.997289879950662	0.237413619948898	0.267364991710672
s200525_Mk_Blank_03.mzXML	0.998695763895756	0.572174439702544	0.998656875988204	0.998647925673094	0.603703150219526	0.777583650373489	0.997839608659042	0.99783349506781	0.735190298405873	0.701731064632114	0.754731533729347	0.9978715114789	0.997205205295293	0.997179679007215	0.303295482774328	0.997224869242291	0.997897574754346	0.997897023366016	0.372632771260425	0	0.540990244670566	0.456136196479603	0.997885742214502	0.328378227817268	0.997169386702096	0.669783756083219	0.997172609639503	0.997209671855569	0.489259203695176	0.547331870316091
s200525_Mou_Blank_02.mzXML	0.999468157570044	0.579035348863086	0.999409014387976	0.999395323263701	0.320646110494224	0.599561756095197	0.999290693671084	0.999292646627987	0.483938103287601	0.588829766578212	0.715823886152145	0.999320038985815	0.999088098155645	0.999079761366212	0.637028341896059	0.999094520228688	0.999314168662999	0.999313988667256	0.670369828277639	0.540990244670566	0	0.579955741745564	0.999310306022455	0.403936980483559	0.999014789919129	0.886362354476524	0.999006687758468	0.999067873856828	0.769287953511994	0.781664244422921
s200525_Mou_Blank_01.mzXML	0.99815760350814	0.574006464893904	0.998180437178761	0.998163830595364	0.622927140710015	0.787938133978935	0.998059793719166	0.998065132474315	0.773669043905761	0.710363160203952	0.777189717925867	0.998094194709958	0.997506061146332	0.99748327926582	0.644330475398482	0.99752361092084	0.998123967984879	0.998123475915348	0.665220731943047	0.456136196479603	0.579955741745564	0	0.998113408392723	0.302757602002465	0.99730574358562	0.899591230658244	0.997283605685721	0.997323350006769	0.757469208706176	0.80160267084989
s200525_Mou_4h_03.mzXML	0.329354646106332	0.999314400527748	0.31820295507054	0.310011593164226	0.999426112750198	0.999652588674759	0.189104681674632	0.182090513358665	0.999585542939693	0.999539921655113	0.999625289799028	0.183652750145202	0.511057032457539	0.518931885715173	0.997329274719309	0.509732006289373	0.0116888304259791	0.0102101756724842	0.997064279410082	0.997885742214502	0.999310306022455	0.998113408392723	0	0.998758644101412	0.682714351833582	0.994393177017071	0.68762059517684	0.690604269264464	0.995997257829973	0.995848497478177
s200525_Mou_Blank_03.mzXML	0.998848554272624	0.430648499477209	0.998865422832802	0.998844763188001	0.466366662900887	0.663310782732285	0.998728298405844	0.998726868573962	0.675366493969637	0.616465434159682	0.718548442737771	0.998754929695867	0.998358845884884	0.998343847648307	0.545444424060498	0.998370399533957	0.998765594424521	0.998765270544934	0.604335420783328	0.328378227817268	0.403936980483559	0.302757602002465	0.998758644101412	0	0.998247209947482	0.870772403398684	0.99821238942042	0.99827136268522	0.698643861776971	0.754616238879372
s200525_Rat_4h_02.mzXML	0.659147071425743	0.999020637955079	0.65887878348678	0.660961019521009	0.999197521381863	0.999520233678133	0.662295645143443	0.664428293585079	0.999425045301796	0.999342757593288	0.999464991514668	0.664473308363825	0.540299381558053	0.543622642823442	0.997401863885434	0.538149901150943	0.683119556358167	0.6862557416904	0.997224848481538	0.997169386702096	0.999014789919129	0.99730574358562	0.682714351833582	0.998247209947482	0	0.995798355274073	0.0110538113033129	0.0121658787848055	0.99640781340689	0.996568324816953
s200525_Rat_Blank_01.mzXML	0.998952219555023	0.895737169192648	0.998959305048868	0.998934138019242	0.9162397917576	0.933617941882496	0.99548879432278	0.995447019412897	0.935447125470022	0.923117595392273	0.939382596772684	0.995380836598858	0.993869950291988	0.993667679394631	0.493150316454518	0.994118786648638	0.994424501309018	0.99442304160465	0.440534785674393	0.669783756083219	0.886362354476524	0.899591230658244	0.994393177017071	0.870772403398684	0.995798355274073	0	0.995790334925783	0.995805142276795	0.32064901546544	0.224452750028404
s200525_Rat_4h_03.mzXML	0.663947687146771	0.999012583863681	0.663683539347917	0.665755993517284	0.999173454046044	0.999499612953945	0.667527070127314	0.669658599930043	0.99940305376574	0.999337351675789	0.999481587741495	0.669640345525188	0.545187098380029	0.548546715522283	0.997389552055175	0.543011168837979	0.688044013904976	0.691157970908941	0.997247643049686	0.997172609639503	0.999006687758468	0.997283605685721	0.68762059517684	0.99821238942042	0.0110538113033129	0.995790334925783	0	0.0125134589769426	0.996421231986297	0.996566612335362
s200525_Rat_4h_01.mzXML	0.665243227724783	0.999019855879939	0.664965586108046	0.667048557307675	0.999237304144353	0.99956783151452	0.668833960535119	0.670874703173113	0.999455870888079	0.999376460351182	0.999485406537185	0.67092616996938	0.546452150278892	0.549696699484931	0.997438666729398	0.544245897412533	0.690977390846794	0.694144861093869	0.997289879950662	0.997209671855569	0.999067873856828	0.997323350006769	0.690604269264464	0.99827136268522	0.0121658787848055	0.995805142276795	0.0125134589769426	0	0.99645665114591	0.996601323476979
s200525_Rat_Blank_03.mzXML	0.998576991066964	0.763248162561854	0.998583422779176	0.998560543461501	0.818667947308298	0.880778580839213	0.99612335512354	0.9961216625242	0.880765447175112	0.831704979196487	0.874712127100805	0.996148167786657	0.994710465256491	0.994662214130704	0.28825237601694	0.994747635829075	0.996019638302096	0.996018595382018	0.237413619948898	0.489259203695176	0.769287953511994	0.757469208706176	0.995997257829973	0.698643861776971	0.99640781340689	0.32064901546544	0.996421231986297	0.99645665114591	0	0.142325413613694
s200525_Rat_Blank_02.mzXML	0.998834505902879	0.847335451990656	0.998835157653057	0.998836810933005	0.811092340558802	0.892202051201949	0.996144697225236	0.996131637118	0.894052927791476	0.870386708246736	0.920410726269053	0.996158322292538	0.994580898967414	0.994481038227217	0.327473597977737	0.994824978099005	0.995871707991499	0.995883354003749	0.267364991710672	0.547331870316091	0.781664244422921	0.80160267084989	0.995848497478177	0.754616238879372	0.996568324816953	0.224452750028404	0.996566612335362	0.996601323476979	0.142325413613694	0
